"","GSM1423267","GSM1423268","GSM1423269","GSM1423270","GSM1423271","GSM1423272","GSM1423273","GSM1423274","GSM1423275","GSM1423276","GSM1423277","GSM1423278","GSM1423279","GSM1423280","GSM1423281","GSM1423283","GSM1423285","GSM1423287","GSM1423289","GSM1423291","GSM1423293","GSM1423295","GSM1423297","GSM1423299","GSM1423301","GSM1423303","GSM1423305","GSM1423307","GSM1423311","GSM1423316"
"11755219_a_at",7.394179451,7.840942314,7.962456778,8.530583454,9.752597861,8.13979672,7.77418048,8.096327876,7.62103143,7.847995841,8.881488864,8.243857298,7.753870125,8.532178311,10.33936256,9.686966644,10.69469694,8.304524818,11.8143666,10.89837606,9.124452524,11.27236344,9.571705828,9.941139276,8.882597265,11.24105161,10.62217705,8.44110591,11.34784415,10.61854499
"11725386_a_at",4.668375644,4.628677225,4.160826905,4.245406032,4.397819408,4.71864849,3.91889423,4.529139137,4.079313936,4.673968601,3.778293192,4.367325758,4.4489055,4.141892111,4.484611084,4.00335661,6.722201309,4.026634144,8.536796056,6.95624222,4.184763588,7.446430445,4.941128465,6.179193068,5.343691415,7.617378211,7.053886993,4.000446015,8.374847376,7.236820335
"11757721_s_at",5.410448739,5.772323253,5.289630085,7.727071341,10.40260817,5.710086425,5.339070296,6.719925274,5.836080504,5.985789587,8.347554694,7.877722963,7.679456329,8.736570499,10.19539109,10.23684595,10.09209492,7.687978825,9.635630373,9.274851829,8.592484267,9.651597221,7.965992303,9.161518733,7.69391311,9.177567214,8.475516588,7.240510904,9.280473116,8.910157143
"11722015_at",4.836265788,5.514710763,4.879647349,5.354321955,7.786169828,5.444209498,4.944850974,5.034820138,6.422587191,4.249113959,6.406913745,5.053782236,5.494713161,7.906577512,7.063532578,7.495556327,11.07223961,5.022991234,10.3439891,7.023024144,6.094846893,8.11444778,6.596109975,5.831567567,5.969012699,9.455777494,7.673710593,5.445271642,8.842773792,8.366495399
"11745021_a_at",8.03146861,8.83207105,8.427867268,9.50194107,11.77820463,8.587081197,8.673487864,9.110558666,8.369455853,8.61718021,9.754494611,9.456375053,9.872043133,10.24238245,11.80132435,11.60336695,11.98812482,9.326176003,12.10976472,11.37015263,10.28753102,12.07631183,10.35908273,10.83963672,10.24503154,11.54495556,10.69916932,9.227537793,11.75822263,11.27838128
"11728477_at",3.059312616,3.568483212,3.442809009,3.914938355,5.427567489,3.090356893,3.993395427,3.69896193,3.179209605,3.343518817,5.097775494,3.208340717,5.276487544,6.204739608,7.233910824,5.179716033,9.941037771,3.176171778,8.157993973,6.601177663,4.371331711,5.984794249,3.828140455,3.544555685,5.637838601,6.211099368,3.889930298,3.702198337,7.201155129,5.608350079
"11744163_at",4.6879773,8.727920683,5.020699771,8.823325592,9.299022671,8.00964626,8.564799941,7.920563544,6.621159319,7.474894855,8.648886294,8.307569798,9.909210946,5.831567567,7.072805834,9.218855241,10.22878819,8.180969315,9.763292669,6.661204171,6.220739075,9.343422125,6.808302791,6.752294651,9.115608511,8.393866014,9.490560036,8.530798822,9.971221802,8.836301328
"11742765_at",4.410377815,4.539492408,4.055817428,4.857808129,8.393817662,4.184734772,4.701079706,4.609692746,4.209571223,4.741690265,6.768945886,5.458840851,7.307774306,6.748608453,7.110752192,8.120163871,8.193205255,5.146433404,6.977310454,6.95889158,6.200331226,7.169195402,5.708356022,5.305920845,7.159974326,6.270926373,6.455289507,6.446030307,7.755434047,6.522938886
"11726611_x_at",6.051599908,5.872538754,5.66316693,6.439649006,8.549332151,6.392285208,6.113510654,6.14706604,6.243152271,6.068922055,6.641465433,6.31276178,5.732927422,7.374531899,8.879400483,8.46657268,9.880058864,6.173775817,9.461003616,8.44167466,7.314604836,9.155753551,7.516956059,7.478887857,6.790151728,9.002517833,8.184142991,6.150673721,9.176887117,8.43402772
"11745137_a_at",6.185580245,6.164746263,5.838364728,6.542541563,8.982281609,6.127558294,5.844063743,6.043561561,5.967227669,6.085092682,6.0857948,5.767899735,5.710786515,7.308250617,8.656419083,9.110326124,9.483403634,5.765014082,8.376700189,8.386457569,7.086928175,9.002377502,7.275816589,7.73596157,6.244072331,8.369135679,7.772797376,6.647531627,8.538387022,8.484121786
